Initial, Result, Steps
196, 7436, 3
295, 7436, 3
394, 7436, 3
493, 7436, 3
592, 7436, 3
689, 7436, 2
691, 7436, 3
788, 7436, 2
790, 7436, 3
879, 9438, 2
887, 7436, 2
978, 9438, 2
986, 7436, 2
1495, 7436, 1
1497, 9438, 1
1585, 7436, 1
1587, 9438, 1
1675, 7436, 1
1677, 9438, 1
1765, 7436, 1
1767, 9438, 1
1855, 7436, 1
1857, 9438, 1
1945, 7436, 1
1947, 1947, 0
1997, 9988, 1
2494, 7436, 1
2496, 9438, 1
2584, 7436, 1
2586, 9438, 1
2674, 7436, 1
2676, 9438, 1
2764, 7436, 1
2766, 9438, 1
2854, 7436, 1
2856, 9438, 1
2944, 7436, 1
2946, 9438, 1
2996, 9988, 1
3493, 7436, 1
3495, 9438, 1
3583, 7436, 1
3585, 9438, 1
3673, 7436, 1
3675, 9438, 1
3763, 7436, 1
3765, 9438, 1
3853, 7436, 1
3855, 9438, 1
3943, 7436, 1
3945, 9438, 1
3995, 9988, 1
4079, 13783, 1
4169, 4169, 0
4259, 13783, 1
4349, 13783, 1
4439, 13783, 1
4492, 7436, 1
4494, 9438, 1
4529, 13783, 1
4582, 7436, 1
4584, 9438, 1
4619, 13783, 1
4672, 7436, 1
4674, 9438, 1
4709, 13783, 1
4762, 7436, 1
4764, 9438, 1
4799, 14773, 1
4852, 7436, 1
4854, 9438, 1
4889, 14773, 1
4942, 7436, 1
4944, 9438, 1
4979, 14773, 1
5078, 13783, 1
5168, 13783, 1
5258, 5258, 0
5348, 13783, 1
5438, 13783, 1
5491, 7436, 1
5493, 9438, 1
5528, 13783, 1
5581, 7436, 1
5583, 9438, 1
5618, 13783, 1
5671, 7436, 1
5673, 9438, 1
5708, 13783, 1
5761, 7436, 1
5763, 9438, 1
5798, 14773, 1
5851, 7436, 1
5853, 9438, 1
5888, 14773, 1
5941, 7436, 1
5943, 9438, 1
5978, 14773, 1
5993, 9988, 1
6077, 13783, 1
6167, 13783, 1
6257, 13783, 1
6347, 6347, 0
6437, 13783, 1
6490, 6490, 0
6492, 9438, 1
6527, 13783, 1
6580, 7436, 1
6582, 9438, 1
6617, 13783, 1
6670, 7436, 1
6672, 9438, 1
6707, 13783, 1
6760, 7436, 1
6762, 9438, 1
6797, 14773, 1
6850, 7436, 1
6852, 9438, 1
6887, 14773, 1
6940, 7436, 1
6942, 9438, 1
6977, 14773, 1
6992, 9988, 1
7059, 16566, 1
7076, 13783, 1
7149, 16566, 1
