Integer, Steps, Result
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,1,9
11,0,11
12,1,9
13,5,9
14,3,9
15,4,9
16,2,9
17,2,9
18,4,9
19,3,9
20,5,9
21,1,9
22,0,22
23,1,9
24,5,9
25,3,9
26,4,9
27,2,9
28,2,9
29,4,9
30,3,9
31,5,9
32,1,9
33,0,33
34,1,9
35,5,9
36,3,9
37,4,9
38,2,9
39,2,9
40,4,9
41,3,9
42,5,9
43,1,9
44,0,44
45,1,9
46,5,9
47,3,9
48,4,9
49,2,9
50,2,9
51,4,9
52,3,9
53,5,9
54,1,9
55,0,55
56,1,9
57,5,9
58,3,9
59,4,9
60,2,9
61,2,9
62,4,9
63,3,9
64,5,9
65,1,9
66,0,66
67,1,9
68,5,9
69,3,9
70,4,9
71,2,9
72,2,9
73,4,9
74,3,9
75,5,9
76,1,9
77,0,77
78,1,9
79,5,9
80,3,9
81,4,9
82,2,9
83,2,9
84,4,9
85,3,9
86,5,9
87,1,9
88,0,88
89,1,9
90,5,9
91,3,9
92,4,9
93,2,9
94,2,9
95,4,9
96,3,9
97,5,9
98,1,9
99,0,99
100,1,99
101,0,101
102,1,99
103,5,99
104,3,99
105,4,99
106,2,99
107,2,99
108,4,99
109,3,99
110,1,99
111,0,111
112,1,99
113,5,99
114,3,99
115,4,99
116,2,99
117,2,99
118,4,99
119,3,99
120,1,99
121,0,121
122,1,99
123,5,99
124,3,99
125,4,99
126,2,99
127,2,99
128,4,99
129,3,99
130,1,99
131,0,131
132,1,99
133,5,99
134,3,99
135,4,99
136,2,99
137,2,99
138,4,99
139,3,99
140,1,99
141,0,141
142,1,99
143,5,99
144,3,99
145,4,99
146,2,99
147,2,99
148,4,99
149,3,99
150,1,99
151,0,151
152,1,99
153,5,99
154,3,99
155,4,99
156,2,99
157,2,99
158,4,99
159,3,99
160,1,99
161,0,161
162,1,99
163,5,99
164,3,99
165,4,99
166,2,99
167,2,99
168,4,99
169,3,99
170,1,99
171,0,171
172,1,99
173,5,99
174,3,99
175,4,99
176,2,99
177,2,99
178,4,99
179,3,99
180,1,99
181,0,181
182,1,99
183,5,99
184,3,99
185,4,99
186,2,99
187,2,99
188,4,99
189,3,99
190,1,99
191,0,191
192,1,99
193,5,99
194,3,99
195,4,99
196,2,99
197,2,99
198,4,99
199,3,99
200,5,99
201,1,99
202,0,202
203,1,99
204,5,99
205,3,99
206,4,99
207,2,99
208,2,99
209,4,99
210,5,99
211,1,99
212,0,212
213,1,99
214,5,99
215,3,99
216,4,99
217,2,99
218,2,99
219,4,99
220,5,99
221,1,99
222,0,222
223,1,99
224,5,99
225,3,99
226,4,99
227,2,99
228,2,99
229,4,99
230,5,99
231,1,99
232,0,232
233,1,99
234,5,99
235,3,99
236,4,99
237,2,99
238,2,99
239,4,99
240,5,99
241,1,99
242,0,242
243,1,99
244,5,99
245,3,99
246,4,99
247,2,99
248,2,99
249,4,99
250,5,99
251,1,99
252,0,252
253,1,99
254,5,99
255,3,99
256,4,99
257,2,99
258,2,99
259,4,99
260,5,99
261,1,99
262,0,262
263,1,99
264,5,99
265,3,99
266,4,99
267,2,99
268,2,99
269,4,99
270,5,99
271,1,99
272,0,272
273,1,99
274,5,99
275,3,99
276,4,99
277,2,99
278,2,99
279,4,99
280,5,99
281,1,99
282,0,282
283,1,99
284,5,99
285,3,99
286,4,99
287,2,99
288,2,99
289,4,99
290,5,99
291,1,99
292,0,292
293,1,99
294,5,99
295,3,99
296,4,99
297,2,99
298,2,99
299,4,99
300,3,99
301,5,99
302,1,99
303,0,303
304,1,99
305,5,99
306,3,99
307,4,99
